iter	RMSE
0	3.174751051
1	3.103106161
2	3.037466108
3	2.980281487
4	2.909895315
5	2.84190232
6	2.78357814
7	2.731755455
8	2.677097568
9	2.630851746
10	2.579778159
11	2.526122466
12	2.476894581
13	2.431054168
14	2.383703769
15	2.340789025
16	2.294876153
17	2.25118114
18	2.210634987
19	2.171541314
20	2.125494441
21	2.090956199
22	2.053200776
23	2.021487024
24	1.988882221
25	1.9540189
26	1.926971238
27	1.893356418
28	1.866845679
29	1.840585419
30	1.816245175
31	1.79097423
32	1.767187087
33	1.743882728
34	1.720187011
35	1.695689191
36	1.677398237
37	1.655557659
38	1.6313608
39	1.610399811
40	1.593482709
41	1.577522635
42	1.559874471
43	1.544168396
44	1.53094462
45	1.512529709
46	1.497292458
47	1.481725386
48	1.466903354
49	1.448250002
50	1.435663724
51	1.421992027
52	1.409837514
53	1.39594149
54	1.382874061
55	1.369896642
56	1.357873826
57	1.348934251
58	1.336830032
59	1.327736311
60	1.315977737
61	1.306643855
62	1.297483364
63	1.286567944
64	1.277345676
65	1.268366808
66	1.258893614
67	1.251606306
68	1.239304913
69	1.232019337
70	1.224981135
71	1.217707468
72	1.211137845
73	1.202650854
74	1.197767774
75	1.18908746
76	1.182866066
77	1.174630507
78	1.169919558
79	1.161766203
80	1.156385168
81	1.150576867
82	1.145122335
83	1.1389862
84	1.135146731
85	1.130811266
86	1.127897122
87	1.120274933
88	1.116746454
89	1.112498556
90	1.106699905
91	1.102509377
92	1.097546096
93	1.091287532
94	1.085595735
95	1.079198434
96	1.074266215
97	1.068046624
98	1.064891592
99	1.062321316
100	1.059548531
101	1.055206628
102	1.049103605
103	1.04574475
104	1.040714495
105	1.037996181
106	1.035130693
107	1.031605232
108	1.025918628
109	1.022350373
110	1.017695513
111	1.013208582
112	1.008639748
113	1.003455719
114	0.9981210632
115	0.9945796325
116	0.9905517607
117	0.9864637904
118	0.9807820391
119	0.9744570978
120	0.9709896825
121	0.9672416242
122	0.9650709826
123	0.9594251691
124	0.9553168274
125	0.9531089067
126	0.9484262304
127	0.9446173455
128	0.9415823829
129	0.9378007304
130	0.9337073696
131	0.9303500927
132	0.9261380718
133	0.9249815077
134	0.9210725248
135	0.9164024285
136	0.911711441
137	0.9099931095
138	0.9079219557
139	0.9062859
140	0.9034380196
141	0.9015840955
142	0.8968760036
143	0.8955984386
144	0.891884503
145	0.888450137
146	0.8853734921
147	0.8821534947
148	0.8787840453
149	0.8764683516
150	0.8733745287
151	0.8699626362
152	0.8670805181
153	0.86602112
154	0.8640254588
155	0.8626190036
156	0.860730708
157	0.8588448777
158	0.8566875776
159	0.8542322977
160	0.8513849548
161	0.8496444885
162	0.8486618811
163	0.8462841475
164	0.8441696688
165	0.8405324656
166	0.8375748918
167	0.8363601191
168	0.8327541392
169	0.8309307528
170	0.8285557157
171	0.826865482
172	0.8257085741
173	0.8238131665
174	0.8225670178
175	0.8200471129
176	0.8177841956
177	0.8150492775
178	0.8133523894
179	0.8122435596
180	0.8107165335
181	0.808901451
182	0.8065546902
183	0.8034763356
184	0.8026571698
185	0.8010142851
186	0.8000200759
187	0.7992768734
188	0.7982108759
189	0.7968652152
190	0.7948929143
191	0.7932119741
192	0.7907400635
193	0.7871347165
194	0.784482156
195	0.7825632786
196	0.7804586498
197	0.7798287054
198	0.77845419
199	0.7767993514
200	0.7751668657
201	0.7736643693
202	0.7714555673
203	0.7708849701
204	0.7696138288
205	0.7683053969
206	0.7672175449
207	0.7652553298
208	0.7643563782
209	0.7634848706
210	0.7601225452
211	0.7587092517
212	0.7577168022
213	0.7565211418
214	0.7544247041
215	0.7536067559
216	0.7529698327
217	0.7502282645
218	0.7495637356
219	0.7481086043
220	0.7475987927
221	0.7466916978
222	0.7450159262
223	0.7430851387
224	0.7399917986
225	0.7388198762
226	0.7359674947
227	0.7354901747
228	0.7339744844
229	0.7332553945
230	0.7305997885
231	0.729257643
232	0.7278480611
233	0.72624041
234	0.7254899949
235	0.7232540118
236	0.7218532649
237	0.7208751759
238	0.719602596
239	0.716815873
240	0.7146205066
241	0.71308102
242	0.711959357
243	0.7108459019
244	0.7092798501
245	0.7080954361
246	0.7062350717
247	0.7053656618
248	0.7039259475
249	0.7023966834
250	0.7015045967
251	0.7000905265
252	0.6988362078
253	0.6984471846
254	0.6971906473
255	0.6962189045
256	0.6958367576
257	0.694520732
258	0.6921846151
259	0.690177843
260	0.6887015067
261	0.6874466896
262	0.6857693148
263	0.6845675032
264	0.6824531318
265	0.6799142605
266	0.6771137312
267	0.6762248731
268	0.6755259321
269	0.6731298505
270	0.672565402
271	0.671939769
272	0.671385584
273	0.6697714204
274	0.6679545449
275	0.6670190265
276	0.6659255493
277	0.66412664
278	0.662990759
279	0.6619109793
280	0.6596934286
281	0.6583067613
282	0.6573423473
283	0.6556891791
284	0.6544570629
285	0.6529375065
286	0.6514745539
287	0.6500238182
288	0.6477008573
289	0.6471151865
290	0.645604534
291	0.6438797551
292	0.6427860054
293	0.6417649176
294	0.6390276857
295	0.6377323259
296	0.6371692566
297	0.6368643598
298	0.6362639468
299	0.6347852879
300	0.6342123546
301	0.6327948404
302	0.6314124633
303	0.6301544695
304	0.6292361238
305	0.6286705502
306	0.6285567304
307	0.6272691122
308	0.6259077788
309	0.6251214294
310	0.623760704
311	0.6236875504
312	0.6226703658
313	0.6222414493
314	0.6211286608
315	0.6207639956
316	0.6192460268
317	0.6173812756
318	0.6156882325
319	0.6140947608
320	0.6131406065
321	0.6118157359
322	0.6095374819
323	0.6086258493
324	0.6075678253
325	0.605347296
326	0.6038009863
327	0.6037089343
328	0.6028727315
329	0.6013799899
330	0.599530501
331	0.5987071347
332	0.5977324468
333	0.5967218842
334	0.5950144712
335	0.5943303615
336	0.5934623673
337	0.5931359408
338	0.5914436263
339	0.5901690863
340	0.5890922869
341	0.5880289161
342	0.5868841196
343	0.5857634053
344	0.5848572443
345	0.5832363154
346	0.5825696335
347	0.5814218605
348	0.5809684548
349	0.5798285734
350	0.5784856564
351	0.5776474795
352	0.5769472642
353	0.5762149942
354	0.57506172
355	0.5741257146
356	0.5732766546
357	0.5721661547
358	0.570884391
359	0.5700919436
360	0.5692532407
361	0.5669605303
362	0.5660249606
363	0.5643858572
364	0.5634606083
365	0.5626416961
366	0.561938471
367	0.5608864695
368	0.5599893595
369	0.5591947502
370	0.5576675863
371	0.5571848112
372	0.5555583756
373	0.5544338554
374	0.5522616946
375	0.5504493128
376	0.5490512197
377	0.5481119223
378	0.5465833308
379	0.5458421231
380	0.5442792422
381	0.5439478701
382	0.5430677486
383	0.5426694336
384	0.541295228
385	0.5402978732
386	0.5387328065
387	0.5386850664
388	0.5386295775
389	0.5383972983
390	0.5381868405
391	0.536666689
392	0.5359085279
393	0.5349686397
394	0.5342467613
395	0.533376692
396	0.5324345303
397	0.5313114504
398	0.5302625675
399	0.529426479
400	0.5285294557
401	0.5276511025
402	0.5263820929
403	0.5256281441
404	0.5247045704
405	0.5246632949
406	0.5238320841
407	0.5229241168
408	0.5221201752
409	0.5212207879
410	0.5205117739
411	0.5199054133
412	0.5188390572
413	0.5171659093
414	0.5160303233
415	0.514810127
416	0.5135748695
417	0.5120974236
418	0.5110362951
419	0.5100601189
420	0.5093666892
421	0.5082242679
422	0.5077735411
423	0.5066185475
424	0.5063930688
425	0.5061285471
426	0.505098608
427	0.5044013039
428	0.5034751697
429	0.5027799585
430	0.5027381168
431	0.5020067441
432	0.5012835491
433	0.4994968477
434	0.498215696
435	0.4976345453
436	0.495958465
437	0.4946855859
438	0.4940418078
439	0.4938281129
440	0.4928326004
441	0.4921091549
442	0.4917336208
443	0.4908958887
444	0.4901315134
445	0.4892910913
446	0.4881568765
447	0.4873221823
448	0.4861681092
449	0.485248027
450	0.4846630105
451	0.4836008135
452	0.4827554982
453	0.4817510281
454	0.480569551
455	0.4799078153
456	0.4797576178
457	0.47930385
458	0.4783543374
459	0.4772591813
460	0.4760021033
461	0.474661476
462	0.4740049162
463	0.4728330688
464	0.4717359972
465	0.4710692947
466	0.4710138658
467	0.4695270751
468	0.4685559913
469	0.4673038661
470	0.4672649018
471	0.4664475628
472	0.4657007287
473	0.4646464571
474	0.4639363003
475	0.4630141953
476	0.461993627
477	0.4610137323
478	0.459958612
479	0.4589189041
480	0.4580222215
481	0.4577964413
482	0.456837261
483	0.4557139078
484	0.4547172911
485	0.4539251401
486	0.4533236143
487	0.4525457956
488	0.4513015587
489	0.4506361113
490	0.4494485985
491	0.4490560724
492	0.4473583089
493	0.4466894495
494	0.4465974546
495	0.4453900802
496	0.4453543012
497	0.4442430947
498	0.4442038452
499	0.4433940473
500	0.4433703159
501	0.4433428107
502	0.4421175718
503	0.4413916931
504	0.440430437
505	0.4392235476
506	0.4381065136
507	0.4369846043
508	0.43624367
509	0.4351216853
510	0.4337567259
511	0.4332563581
512	0.4324200702
513	0.4312280531
514	0.4302279477
515	0.429162795
516	0.4281356895
517	0.427149754
518	0.4269967846
519	0.4258501495
520	0.4254579838
521	0.4251140771
522	0.4241997434
523	0.4236268963
524	0.4219597832
525	0.4215456686
526	0.4207870691
527	0.4207633176
528	0.4199339557
529	0.4187430716
530	0.4172100161
531	0.416895089
532	0.4160097477
533	0.4151624369
534	0.413987794
535	0.4131217806
536	0.4123852456
537	0.4118427147
538	0.4114452345
539	0.4109859258
540	0.4103432791
541	0.4095214286
542	0.4088780151
543	0.4077690473
544	0.4076054748
545	0.4065480294
546	0.4059329679
547	0.4051671674
548	0.4049138191
549	0.4047025451
550	0.4041632053
551	0.4041406783
552	0.403508334
553	0.4023911583
554	0.4014320423
555	0.4006620739
556	0.3995244478
557	0.3989750397
558	0.3981767366
559	0.3970819282
560	0.3960639088
561	0.3960441605
562	0.3960241325
563	0.3958684994
564	0.3949294466
565	0.3949056043
566	0.3942922927
567	0.3933503425
568	0.3925349222
569	0.3918124811
570	0.3912733001
571	0.3909314934
572	0.3909083703
573	0.3901234499
574	0.3900699263
575	0.3891173273
576	0.3887364875
577	0.387948226
578	0.3873576921
579	0.3864668937
580	0.385688722
581	0.3853589074
582	0.3853050767
583	0.3845037485
584	0.3837516263
585	0.3829209826
586	0.3828980668
587	0.3824302492
588	0.3822841595
589	0.3817169319
590	0.3802188835
591	0.3795430688
592	0.3795212064
593	0.3789302224
594	0.3784929342
595	0.3778353493
596	0.3773507282
597	0.3767954701
598	0.376336419
599	0.3758496029
600	0.3748020904
601	0.3736609277
602	0.3736464118
603	0.3736325059
604	0.3729484346
605	0.3720824408
606	0.3714459902
607	0.3708331349
608	0.3700122276
609	0.3693382952
610	0.3687713021
611	0.3683733602
612	0.3676467089
613	0.3668715847
614	0.3661651898
615	0.3654619132
616	0.3649941543
617	0.3638056704
618	0.3629145582
619	0.3624092973
620	0.3617356085
621	0.3613308519
622	0.3608252492
623	0.3603643301
624	0.3596624055
625	0.3588470168
626	0.3583709672
627	0.3579186883
628	0.3574547821
629	0.3568489168
630	0.3563580523
631	0.3559201984
632	0.3547982203
633	0.3542171364
634	0.3535747069
635	0.3532832855
636	0.3530040115
637	0.3519500471
638	0.3512466546
639	0.3506358491
