iter	Passed	Remaining
0	136	136563
1	140	69944
2	143	47700
3	146	36542
4	150	29899
5	156	25949
6	160	22801
7	164	20341
8	167	18407
9	170	16858
10	173	15588
11	182	14997
12	186	14145
13	189	13355
14	192	12639
15	195	12011
16	198	11483
17	208	11398
18	212	10979
19	216	10589
20	219	10235
21	222	9902
22	229	9727
23	234	9518
24	238	9291
25	241	9032
26	244	8797
27	247	8581
28	258	8644
29	261	8442
30	263	8250
31	267	8082
32	269	7907
33	276	7846
34	280	7742
35	284	7620
36	287	7489
37	291	7368
38	294	7256
39	316	7597
40	325	7609
41	330	7532
42	333	7423
43	337	7332
44	340	7234
45	349	7251
46	353	7166
47	357	7087
48	361	7007
49	364	6927
50	372	6940
51	378	6892
52	381	6813
53	384	6736
54	389	6685
55	407	6874
56	411	6804
57	414	6738
58	423	6747
59	426	6686
60	430	6622
61	433	6564
62	437	6500
63	447	6540
64	450	6486
65	454	6430
66	457	6370
67	459	6303
68	466	6290
69	469	6243
70	472	6176
71	475	6131
72	479	6092
73	484	6057
74	486	6003
75	491	5970
76	495	5941
77	498	5895
78	503	5873
79	507	5832
80	510	5797
81	514	5764
82	518	5728
83	529	5769
84	539	5811
85	545	5801
86	548	5751
87	554	5742
88	564	5778
89	568	5746
90	571	5708
91	574	5673
92	578	5638
93	582	5615
94	587	5599
95	590	5563
96	594	5535
97	598	5508
98	602	5483
99	610	5496
100	614	5469
101	618	5443
102	622	5419
103	626	5400
104	634	5411
105	638	5381
106	641	5354
107	646	5336
108	650	5314
109	653	5291
110	658	5271
111	661	5246
112	666	5229
113	670	5210
114	674	5190
115	679	5180
116	684	5162
117	688	5145
118	692	5128
119	696	5109
120	716	5206
121	720	5188
122	729	5198
123	733	5184
124	738	5166
125	741	5146
126	748	5144
127	754	5139
128	758	5119
129	762	5102
130	766	5084
131	773	5089
132	777	5067
133	782	5054
134	786	5041
135	789	5017
136	795	5011
137	800	5001
138	805	4990
139	808	4968
140	813	4954
141	821	4966
142	826	4954
143	831	4941
144	834	4921
145	838	4902
146	846	4911
147	849	4889
148	854	4879
