iter	Passed	Remaining
0	130	130485
1	133	66751
2	137	45562
3	145	36225
4	149	29810
5	153	25436
6	157	22386
7	161	19984
8	165	18208
9	169	16740
10	172	15550
11	175	14487
12	179	13608
13	188	13248
14	192	12671
15	197	12138
16	200	11604
17	204	11132
18	208	10755
19	212	10416
20	216	10080
21	219	9743
22	222	9441
23	228	9309
24	234	9146
25	240	8993
26	243	8767
27	246	8550
28	254	8516
29	257	8328
30	261	8169
31	264	8007
32	268	7860
33	277	7897
34	282	7794
35	288	7713
36	291	7577
37	294	7464
38	302	7441
39	305	7334
40	309	7231
41	312	7120
42	315	7023
43	319	6933
44	330	7018
45	337	7005
46	351	7125
47	355	7041
48	359	6967
49	363	6909
50	369	6883
51	373	6815
52	377	6739
53	380	6671
54	383	6595
55	387	6528
56	395	6545
57	399	6480
58	402	6427
59	406	6365
60	409	6310
61	413	6254
62	421	6261
63	424	6203
64	427	6142
65	430	6088
66	433	6033
67	435	5968
68	441	5958
69	444	5912
70	447	5856
71	451	5812
72	454	5767
73	457	5722
74	458	5659
75	461	5612
76	467	5604
77	471	5568
78	475	5539
79	478	5505
80	482	5471
81	486	5450
82	491	5430
83	495	5397
84	498	5367
85	502	5339
86	504	5299
87	512	5313
88	516	5286
89	519	5253
90	523	5226
91	526	5195
92	529	5164
93	536	5167
94	539	5136
95	542	5107
96	545	5075
97	548	5045
98	551	5019
99	555	4995
100	560	4988
101	563	4959
102	566	4931
103	569	4904
104	572	4877
105	575	4852
106	578	4829
107	583	4821
108	587	4798
109	590	4774
110	594	4760
111	599	4751
112	603	4733
113	608	4728
114	611	4708
115	617	4708
116	622	4696
117	626	4681
118	631	4674
119	634	4654
120	640	4649
121	643	4630
122	647	4616
123	652	4608
124	657	4604
125	661	4587
126	665	4575
127	668	4555
128	672	4537
129	677	4531
130	681	4520
131	684	4503
132	687	4483
133	690	4465
134	695	4455
135	699	4442
136	704	4435
137	707	4421
138	712	4411
139	716	4400
140	720	4389
141	725	4384
142	729	4372
143	733	4360
144	738	4353
145	742	4340
146	746	4334
147	751	4323
148	756	4320
149	760	4308
150	765	4301
151	769	4293
152	773	4281
153	776	4266
154	780	4255
155	785	4251
156	793	4258
157	797	4252
158	801	4240
159	805	4227
160	808	4215
161	813	4206
162	817	4199
163	823	4196
164	826	4183
165	832	4184
166	836	4172
167	841	4167
168	846	4162
169	850	4152
170	856	4153
171	861	4148
172	870	4159
173	884	4196
174	893	4213
175	903	4230
176	909	4227
177	924	4267
178	928	4260
179	934	4256
180	947	4287
181	957	4303
182	967	4320
183	976	4331
184	981	4325
185	987	4320
186	993	4321
187	999	4318
188	1007	4322
189	1015	4329
190	1023	4333
191	1028	4326
192	1033	4321
193	1040	4323
194	1050	4334
195	1057	4337
196	1063	4333
197	1068	4328
198	1074	4322
199	1080	4321
200	1086	4317
201	1090	4308
202	1096	4303
203	1101	4298
204	1108	4299
205	1113	4291
206	1118	4284
207	1123	4277
208	1127	4268
209	1133	4264
210	1137	4252
211	1141	4242
212	1145	4231
213	1173	4308
214	1200	4384
215	1216	4415
216	1226	4426
217	1232	4420
218	1235	4407
219	1239	4394
220	1243	4383
221	1248	4375
222	1252	4365
223	1257	4354
224	1261	4344
225	1264	4332
226	1268	4320
227	1273	4312
228	1278	4303
229	1282	4292
230	1288	4288
231	1291	4276
232	1297	4272
233	1304	4269
234	1308	4260
235	1313	4251
236	1316	4239
237	1320	4229
238	1332	4242
239	1343	4254
240	1358	4279
241	1366	4279
242	1373	4278
243	1380	4276
244	1386	4273
245	1394	4273
246	1402	4274
247	1408	4269
248	1412	4260
249	1419	4259
250	1428	4261
251	1431	4250
252	1436	4240
253	1441	4233
254	1445	4223
255	1451	4218
256	1456	4209
257	1461	4202
258	1466	4194
259	1472	4190
260	1477	4184
261	1482	4176
262	1486	4166
263	1490	4155
264	1494	4145
265	1500	4139
266	1503	4128
267	1507	4118
268	1511	4106
269	1515	4097
270	1520	4091
271	1523	4078
272	1527	4066
273	1531	4057
274	1536	4049
275	1539	4039
276	1545	4033
277	1549	4023
278	1557	4025
279	1560	4013
280	1564	4003
281	1570	3997
282	1573	3986
283	1577	3977
284	1581	3966
285	1584	3955
286	1594	3960
287	1597	3950
288	1602	3942
289	1606	3933
290	1611	3927
291	1619	3925
292	1623	3917
293	1628	3911
294	1633	3904
295	1643	3908
296	1649	3903
297	1667	3926
298	1674	3926
299	1679	3918
300	1688	3921
301	1694	3915
302	1700	3912
303	1715	3927
304	1721	3923
305	1725	3912
306	1728	3901
307	1736	3902
308	1745	3902
309	1749	3894
310	1759	3898
311	1765	3893
312	1771	3888
313	1776	3881
314	1783	3878
315	1788	3871
316	1799	3877
317	1807	3876
318	1813	3871
319	1819	3866
320	1825	3862
321	1834	3862
322	1846	3870
323	1852	3865
324	1859	3861
325	1886	3901
326	1891	3892
327	1896	3884
328	1906	3888
329	1913	3884
330	1920	3880
331	1931	3886
332	1942	3890
333	1947	3882
334	1966	3902
335	1970	3893
336	1994	3924
337	2000	3918
338	2005	3910
339	2010	3902
340	2014	3892
341	2017	3881
342	2022	3874
343	2030	3871
344	2035	3863
345	2039	3854
346	2043	3846
347	2049	3840
348	2054	3832
349	2058	3823
350	2065	3819
351	2074	3818
352	2079	3811
353	2084	3803
354	2087	3792
355	2091	3782
356	2101	3784
357	2105	3775
358	2109	3765
359	2112	3756
360	2118	3750
361	2124	3744
362	2129	3737
363	2134	3728
364	2137	3719
365	2152	3729
366	2158	3722
367	2161	3711
368	2164	3700
369	2173	3700
370	2176	3689
371	2179	3680
372	2183	3669
373	2186	3659
374	2194	3656
375	2197	3646
376	2200	3637
377	2204	3628
378	2207	3617
379	2212	3609
380	2217	3602
381	2221	3593
382	2224	3583
383	2227	3573
384	2230	3563
385	2244	3570
386	2249	3563
387	2252	3553
388	2255	3543
389	2267	3546
390	2272	3539
391	2276	3530
392	2280	3522
393	2290	3522
394	2293	3512
395	2296	3503
396	2300	3493
397	2303	3484
398	2308	3476
399	2312	3468
400	2315	3459
401	2319	3449
402	2322	3440
403	2325	3430
404	2329	3421
405	2346	3432
406	2349	3422
407	2362	3428
408	2366	3419
409	2369	3410
410	2373	3401
411	2377	3393
412	2384	3388
413	2387	3379
414	2390	3369
415	2395	3362
416	2399	3354
417	2403	3346
418	2409	3341
419	2413	3332
420	2416	3323
421	2419	3313
422	2422	3304
423	2426	3296
424	2432	3290
425	2435	3281
426	2438	3272
427	2441	3263
428	2444	3254
429	2447	3244
430	2458	3245
431	2463	3238
432	2466	3229
433	2469	3220
434	2472	3211
435	2482	3210
436	2485	3201
437	2488	3193
438	2492	3184
439	2495	3175
440	2504	3174
441	2509	3167
442	2513	3159
443	2516	3150
444	2519	3141
445	2528	3140
446	2531	3131
447	2534	3122
448	2537	3114
449	2541	3105
450	2544	3096
451	2550	3092
452	2554	3084
453	2559	3077
454	2562	3069
455	2565	3060
456	2568	3052
457	2574	3047
458	2578	3039
459	2582	3031
460	2586	3023
461	2590	3016
462	2599	3015
463	2604	3009
464	2608	3001
465	2612	2993
466	2615	2985
467	2626	2986
468	2630	2978
469	2634	2970
470	2637	2962
471	2646	2961
472	2651	2953
473	2654	2946
474	2658	2938
475	2661	2930
476	2672	2930
477	2675	2922
478	2679	2914
479	2682	2906
480	2685	2897
481	2697	2899
482	2702	2892
483	2706	2885
484	2709	2877
485	2722	2879
486	2727	2872
487	2730	2865
488	2734	2857
489	2748	2860
490	2751	2852
491	2755	2845
492	2759	2837
493	2766	2833
494	2771	2827
495	2775	2820
496	2864	2899
497	2871	2894
498	2877	2889
499	2885	2885
500	2892	2881
501	2944	2920
502	2997	2962
503	3012	2964
504	3020	2961
505	3027	2955
506	3050	2966
507	3095	2998
508	3102	2992
509	3116	2993
510	3120	2985
511	3124	2978
512	3128	2969
513	3197	3023
514	3202	3015
515	3216	3017
516	3220	3008
517	3223	2999
518	3227	2991
519	3242	2993
520	3246	2985
521	3250	2976
522	3260	2973
523	3264	2965
524	3266	2955
525	3270	2947
526	3273	2938
527	3287	2938
528	3290	2929
529	3293	2921
530	3297	2912
531	3300	2903
532	3310	2900
533	3313	2891
534	3316	2882
535	3319	2873
536	3323	2865
537	3334	2863
538	3339	2856
539	3342	2847
540	3345	2838
541	3357	2837
542	3361	2829
543	3365	2820
544	3368	2812
545	3371	2803
546	3381	2800
547	3385	2792
548	3388	2783
549	3391	2774
550	3395	2766
551	3406	2764
552	3410	2756
553	3413	2748
554	3417	2739
555	3420	2731
556	3431	2729
557	3437	2722
558	3440	2714
559	3444	2706
560	3454	2703
561	3458	2695
562	3461	2687
563	3464	2678
564	3468	2670
565	3481	2669
566	3484	2661
567	3487	2652
568	3491	2644
569	3504	2644
570	3507	2635
571	3511	2627
572	3514	2619
573	3532	2621
574	3537	2614
575	3541	2606
576	3548	2601
577	3552	2594
578	3556	2585
579	3567	2583
580	3572	2576
581	3576	2568
582	3579	2560
583	3597	2562
584	3601	2554
585	3604	2546
586	3621	2548
587	3624	2539
588	3629	2532
589	3649	2535
590	3652	2527
591	3661	2523
592	3665	2515
593	3669	2508
594	3675	2502
595	3685	2498
596	3689	2490
597	3693	2482
598	3697	2475
599	3700	2467
600	3710	2463
601	3715	2456
602	3717	2447
603	3720	2439
604	3724	2431
605	3733	2427
606	3737	2419
607	3740	2411
608	3743	2403
609	3747	2395
610	3757	2392
611	3761	2384
612	3765	2377
613	3770	2370
614	3776	2364
615	3779	2356
616	3783	2348
617	3787	2341
618	3791	2333
619	3794	2325
620	3804	2322
621	3808	2314
622	3812	2306
623	3817	2300
624	3826	2295
625	3830	2288
626	3836	2282
627	3840	2274
628	3843	2267
629	3857	2265
630	3865	2260
631	3876	2257
632	3881	2250
633	3886	2243
634	3890	2236
635	3901	2232
636	3906	2225
637	3909	2218
638	3913	2210
639	3916	2203
640	3922	2196
641	3926	2189
642	3932	2183
643	3935	2175
644	3942	2170
645	3946	2162
646	3952	2156
647	3955	2148
648	3958	2140
649	3964	2134
650	3969	2128
651	3973	2120
652	3977	2113
653	3981	2106
654	3987	2100
655	3991	2093
656	3996	2086
657	4000	2079
658	4004	2071
659	4007	2064
660	4012	2057
661	4016	2050
662	4019	2043
663	4022	2035
664	4025	2028
665	4029	2020
666	4036	2015
667	4040	2008
668	4043	2000
669	4047	1993
670	4050	1985
671	4053	1978
672	4058	1971
673	4062	1964
674	4066	1957
675	4070	1951
676	4076	1944
677	4081	1938
678	4085	1931
679	4090	1924
680	4093	1917
681	4098	1910
682	4102	1904
683	4108	1897
684	4112	1890
685	4124	1887
686	4220	1922
687	4444	2015
688	4460	2013
689	4468	2007
690	4486	2006
691	4498	2002
692	4511	1998
693	4518	1992
694	4539	1991
695	4551	1988
696	4556	1980
697	4561	1973
698	4575	1970
699	4584	1964
700	4591	1958
701	4595	1950
702	4601	1943
703	4604	1936
704	4611	1929
705	4618	1923
706	4625	1917
707	4632	1910
708	4636	1902
709	4640	1895
710	4649	1889
711	4652	1882
712	4656	1874
713	4661	1867
714	4664	1859
715	4678	1855
716	4682	1848
717	4685	1840
718	4688	1832
719	4698	1827
720	4704	1820
721	4713	1815
722	4728	1811
723	4732	1804
724	4737	1796
725	4761	1797
726	4765	1789
727	4772	1783
728	4778	1776
729	4782	1768
730	4787	1761
731	4801	1758
732	4809	1751
733	4818	1746
734	4827	1740
735	4833	1733
736	4861	1734
737	4873	1730
738	4881	1724
739	4895	1720
740	4905	1714
741	4909	1707
742	4919	1701
743	4925	1694
744	4930	1687
745	4936	1680
746	4943	1674
747	4949	1667
748	4954	1660
749	4963	1654
750	4970	1648
751	4975	1640
752	4980	1633
753	4987	1627
754	4992	1620
755	4999	1613
756	5003	1606
757	5010	1599
758	5015	1592
759	5020	1585
760	5025	1578
761	5039	1573
762	5053	1569
763	5100	1575
764	5118	1572
765	5124	1565
766	5132	1559
767	5138	1552
768	5144	1545
769	5148	1537
770	5159	1532
771	5165	1525
772	5169	1518
773	5173	1510
774	5184	1505
775	5187	1497
776	5191	1489
777	5195	1482
778	5203	1476
779	5208	1469
780	5214	1462
781	5218	1454
782	5221	1447
783	5235	1442
784	5240	1435
785	5265	1433
786	5269	1426
787	5286	1422
788	5290	1414
789	5294	1407
790	5310	1403
791	5313	1395
792	5317	1387
793	5334	1383
794	5337	1376
795	5342	1369
796	5349	1362
797	5356	1355
798	5360	1348
799	5365	1341
800	5376	1335
801	5380	1328
802	5383	1320
803	5387	1313
804	5390	1305
805	5405	1301
806	5410	1293
807	5413	1286
808	5425	1281
809	5429	1273
810	5432	1266
811	5436	1258
812	5439	1251
813	5445	1244
814	5448	1236
815	5452	1229
816	5464	1223
817	5470	1217
818	5473	1209
819	5485	1204
820	5493	1197
821	5498	1190
822	5503	1183
823	5522	1179
824	5525	1172
825	5535	1166
826	5542	1159
827	5547	1152
828	5556	1146
829	5560	1138
830	5566	1131
831	5570	1124
832	5573	1117
833	5584	1111
834	5588	1104
835	5592	1097
836	5596	1089
837	5605	1083
838	5610	1076
839	5614	1069
840	5618	1062
841	5624	1055
842	5631	1048
843	5635	1041
844	5639	1034
845	5643	1027
846	5649	1020
847	5660	1014
848	5665	1007
849	5675	1001
850	5681	994
851	5688	988
852	5703	982
853	5710	976
854	5715	969
855	5724	963
856	5755	960
857	5762	953
858	5771	947
859	5778	940
860	5784	933
861	5789	926
862	5795	920
863	5799	912
864	5803	905
865	5807	898
866	5811	891
867	5817	884
868	5822	877
869	5826	870
870	5830	863
871	5834	856
872	5839	849
873	5845	842
874	5848	835
875	5852	828
876	5856	821
877	5860	814
878	5868	807
879	5875	801
880	5974	806
881	5982	800
882	5992	793
883	5998	787
884	6005	780
885	6009	773
886	6016	766
887	6025	759
888	6031	753
889	6038	746
890	6044	739
891	6200	750
892	6204	743
893	6213	736
894	6220	729
895	6224	722
896	6228	715
897	6235	708
898	6240	701
899	6244	693
900	6247	686
901	6252	679
902	6257	672
903	6263	665
904	6267	657
905	6270	650
906	6274	643
907	6277	636
908	6286	629
909	6291	622
910	6295	614
911	6298	607
912	6302	600
913	6309	593
914	6315	586
915	6319	579
916	6322	572
917	6327	565
918	6332	558
919	6336	550
920	6339	543
921	6343	536
922	6346	529
923	6351	522
924	6355	515
925	6359	508
926	6362	501
927	6366	493
928	6370	486
929	6375	479
930	6380	472
931	6385	465
932	6392	459
933	6398	452
934	6404	445
935	6409	438
936	6414	431
937	6417	424
938	6421	417
939	6428	410
940	6432	403
941	6436	396
942	6440	389
